Billionaire_ID,Rank,Name,Net Worth,Age,Country,Source,Net_Worth_B,Industry_id
0,1,Bernard Arnault & family,$211 B,74,France,LVMH,211.0,1
1,11,Francoise Bettencourt Meyers & family,$80.5 B,69,France,L'Oréal,80.5,1
2,13,Amancio Ortega,$77.3 B,87,Spain,Zara,77.3,1
3,19,Jim Walton,$58.8 B,74,United States,Walmart,58.8,1
4,20,Rob Walton & family,$57.6 B,78,United States,Walmart,57.6,1
5,21,Alice Walton,$56.7 B,73,United States,Walmart,56.7,1
6,25,Phil Knight & family,$45.1 B,85,United States,Nike,45.1,1
7,27,Dieter Schwarz,$42.9 B,83,Germany,Retail,42.9,1
8,28,François Pinault & family,$40.1 B,86,France,Luxury goods,40.1,1
9,39,Tadashi Yanai & family,$32.6 B,74,Japan,Fashion retail,32.6,1
10,41,Alain Wertheimer,$31.6 B,74,France,Chanel,31.6,1
11,41,Gerard Wertheimer,$31.6 B,72,France,Chanel,31.6,1
12,74,Lukas Walton,$21.2 B,36,United States,Walmart,21.2,1
13,77,Leonard Lauder,$21 B,90,United States,Estee Lauder,21.0,1
14,97,"John Menard, Jr.",$17.4 B,83,United States,Home improvement stores,17.4,1
15,101,"Theo Albrecht, Jr. & family",$16.5 B,72,Germany,"Aldi, Trader Joe's",16.5,1
16,104,Stefan Persson,$16.2 B,75,Sweden,H&M,16.2,1
17,108,Karl Albrecht Jr. & family,$15.8 B,65,Germany,Supermarkets,15.8,1
18,108,Beate Heister,$15.8 B,65,Germany,Supermarkets,15.8,1
19,114,Radhakishan Damani,$15.3 B,68,India,"Retail, investments",15.3,1
20,116,David Green & family,$14.9 B,81,United States,Retail,14.9,1
21,151,Michael Rubin,$11.4 B,50,United States,Online retail,11.4,1
22,157,Giorgio Armani,$11.1 B,88,Italy,Luxury goods,11.1,1
23,157,Johann Rupert & family,$11.1 B,72,South Africa,Luxury goods,11.1,1
24,161,Judy Love & family,$10.9 B,85,United States,Gas stations,10.9,1
25,161,Ricardo Salinas Pliego & family,$10.9 B,67,Mexico,"Retail, media",10.9,1
26,167,Sky Xu,$10.5 B,39,China,E-commerce,10.5,1
27,171,Christy Walton,$10.2 B,74,United States,Walmart,10.2,1
28,184,Nicolas Puech,$9.8 B,80,France,Hermes,9.8,1
29,208,Eric Smidt,$9.2 B,63,United States,Hardware stores,9.2,1
30,223,Tatyana Bakalchuk,$8.8 B,47,Russia,Ecommerce,8.8,1
31,230,Michael Otto,$8.7 B,79,Germany,"Retail, real estate",8.7,1
32,239,Ann Walton Kroenke,$8.5 B,74,United States,Walmart,8.5,1
33,246,John Morris,$8.3 B,75,United States,Sporting goods retail,8.3,1
34,246,Stefano Pessina,$8.3 B,81,Monaco,Drugstores,8.3,1
35,261,Bernard Marcus,$8 B,93,United States,Home Depot,8.0,1
36,268,Ding Shizhong,$7.9 B,52,China,Sports apparel,7.9,1
37,268,Nancy Walton Laurie,$7.9 B,71,United States,Walmart,7.9,1
38,276,Zhang Congyuan,$7.8 B,75,Taiwan,Shoes,7.8,1
39,299,Charles Butt,$7.5 B,85,United States,Supermarkets,7.5,1
40,299,Ding Shijia,$7.5 B,59,China,Sports apparel,7.5,1
41,305,Ma Jianrong,$7.4 B,59,China,"Textiles, apparel",7.4,1
42,312,Anders Holch Povlsen,$7.3 B,50,Denmark,Fashion retail,7.3,1
43,317,Takahisa Takahara,$7.2 B,61,Japan,Personal care goods,7.2,1
44,332,Ralph Lauren,$7 B,83,United States,Apparel,7.0,1
45,344,Sandra Ortega Mera,$6.9 B,54,Spain,Zara,6.9,1
46,390,Nathan Kirsh,$6.5 B,91,Eswatini (Swaziland),"Retail, real estate",6.5,1
47,418,Michael Herz,$6.1 B,79,Germany,Coffee,6.1,1
48,418,Wolfgang Herz,$6.1 B,72,Germany,Coffee,6.1,1
49,425,Alain Bouchard,$6 B,74,Canada,Convinience stores,6.0,1
50,425,Gopikishan Damani,$6 B,65,India,"Retail, investments",6.0,1
51,425,Les Wexner & family,$6 B,85,United States,Retail,6.0,1
52,486,Patrizio Bertelli,$5.4 B,77,Italy,Luxury goods,5.4,1
53,486,Miuccia Prada,$5.4 B,73,Italy,Luxury goods,5.4,1
54,486,Wolfgang Reimann,$5.4 B,70,Germany,Consumer goods,5.4,1
55,486,Matthias Reimann-Andersen,$5.4 B,58,Germany,Consumer goods,5.4,1
56,486,Stefan Reimann-Andersen,$5.4 B,59,Germany,Consumer goods,5.4,1
57,486,Renate Reimann-Haas,$5.4 B,71,Germany,Consumer goods,5.4,1
58,497,M.A. Yusuff Ali,$5.3 B,67,India,Retail,5.3,1
59,511,Gao Dekang & family,$5.2 B,71,China,Apparel,5.2,1
60,511,Micky Jagtiani,$5.2 B,71,India,Retail,5.2,1
61,534,Jane Lauder,$5 B,50,United States,Estée Lauder,5.0,1
62,534,Michel Leclercq & family,$5 B,83,France,Sporting goods,5.0,1
63,534,Chip Wilson,$5 B,66,Canada,Lululemon,5.0,1
64,552,Zhang Tao,$4.9 B,50,China,E-commerce,4.9,1
65,567,Michael Ashley,$4.8 B,58,United Kingdom,Sports retailing,4.8,1
66,567,Tomasz Biernacki,$4.8 B,50,Poland,Supermarkets,4.8,1
67,567,Jimmy Haslam,$4.8 B,69,United States,"Gas stations, retail",4.8,1
68,591,Ronald Lauder,$4.6 B,79,United States,Estee Lauder,4.6,1
69,591,Doug Meijer & family,$4.6 B,69,United States,Supermarkets,4.6,1
70,591,Hank Meijer & family,$4.6 B,71,United States,Supermarkets,4.6,1
71,591,Mark Meijer & family,$4.6 B,65,United States,Supermarkets,4.6,1
72,611,Odd Reitan & family,$4.5 B,71,Norway,"Retail, real estate",4.5,1
73,624,Christian Haub,$4.4 B,58,Germany,Retail,4.4,1
74,659,Djoko Susanto,$4.2 B,73,Indonesia,Supermarkets,4.2,1
75,679,Igor Kesaev,$4.1 B,56,Russia,"Tobacco distribution, retail",4.1,1
76,721,Giuseppe De'Longhi & family,$3.9 B,83,Italy,Coffee makers,3.9,1
77,721,Alfred Oetker,$3.9 B,56,Germany,Consumer goods,3.9,1
78,721,Carl Ferdinand Oetker,$3.9 B,50,Germany,Consumer goods,3.9,1
79,721,Julia Oetker,$3.9 B,44,Germany,Consumer goods,3.9,1
80,766,Tom Morris,$3.7 B,68,United Kingdom,Retail,3.7,1
81,766,Horst Paulmann & family,$3.7 B,88,Chile,Retail,3.7,1
82,766,Richard Schulze,$3.7 B,82,United States,Best Buy,3.7,1
83,787,Masahiro Miki,$3.6 B,67,Japan,Shoes,3.6,1
84,787,Juan Roig,$3.6 B,73,Spain,Supermarkets,3.6,1
85,787,Lawrence Stroll,$3.6 B,63,Canada,Fashion investments,3.6,1
86,818,Rocco Basilico,$3.5 B,33,Italy,Eyeglasses,3.5,1
87,818,Claudio Del Vecchio,$3.5 B,66,Italy,Eyeglasses,3.5,1
88,818,Clemente Del Vecchio,$3.5 B,18,Italy,Eyeglases,3.5,1
89,818,Leonardo Maria Del Vecchio,$3.5 B,27,Italy,Eyeglasses,3.5,1
90,818,Luca Del Vecchio,$3.5 B,21,Italy,Eyeglasses,3.5,1
91,818,Marisa Del Vecchio,$3.5 B,64,Italy,Eyeglasses,3.5,1
92,818,Paola Del Vecchio,$3.5 B,61,Italy,Eyeglasses,3.5,1
93,818,Fan Daidi,$3.5 B,57,China,Skincare,3.5,1
94,818,Dirk Rossmann & family,$3.5 B,76,Germany,Drugstores,3.5,1
95,818,Remo Ruffini,$3.5 B,61,Italy,Winter jackets,3.5,1
96,818,Nicoletta Zampillo,$3.5 B,65,Italy,Eyeglasses,3.5,1
97,852,Laurence Graff & family,$3.4 B,84,United Kingdom,Diamond jewelry,3.4,1
98,852,William Lauder,$3.4 B,62,United States,Estee Lauder,3.4,1
99,852,Hiroshi Mikitani,$3.4 B,58,Japan,Online retail,3.4,1
100,878,Akio Nitori,$3.3 B,79,Japan,Home furnishings,3.3,1
101,878,Takao Yasuda,$3.3 B,73,Japan,Retail,3.3,1
102,905,Giuliana Benetton,$3.2 B,85,Italy,"Fashion retail, investments",3.2,1
103,905,Luciano Benetton,$3.2 B,87,Italy,"Fashion retail, investments",3.2,1
104,905,Brunello Cucinelli & family,$3.2 B,69,Italy,Fashion,3.2,1
105,905,Sergei Galitsky,$3.2 B,55,Russia,Retail,3.2,1
106,905,Luciano Hang,$3.2 B,60,Brazil,Department stores,3.2,1
107,905,Shen Guojun,$3.2 B,60,China,Retail,3.2,1
108,949,Miguel Krigsner,$3.1 B,73,Brazil,Cosmetics,3.1,1
109,949,Aerin Lauder,$3.1 B,52,United States,Estee Lauder,3.1,1
110,949,Ravi Modi,$3.1 B,46,India,Readymade garments,3.1,1
111,949,Renzo Rosso & family,$3.1 B,67,Italy,Fashion,3.1,1
112,949,Frank VanderSloot,$3.1 B,74,United States,"Nutrition, wellness products",3.1,1
113,982,Todd Christopher,$3 B,60,United States,Hair care products,3.0,1
114,982,Jean Coutu & family,$3 B,95,Canada,Drugstores,3.0,1
115,982,Friedrich Knapp,$3 B,71,Germany,Fashion retail,3.0,1
116,982,Lin Ming-hsiung,$3 B,73,Taiwan,Supermarkets,3.0,1
117,982,Guanghe Qiu & family,$3 B,71,China,Fashion retail,3.0,1
118,982,Stephen Rubin,$3 B,86,United Kingdom,Sports apparel,3.0,1
119,1027,Isak Andic & family,$2.9 B,69,Spain,Fashion retail,2.9,1
120,1027,Jacques D'Amours,$2.9 B,66,Canada,Convenience stores,2.9,1
121,1027,John Paul DeJoria,$2.9 B,78,United States,"Hair products, tequila",2.9,1
122,1027,Erwin Franz Mueller,$2.9 B,90,Germany,Drugstores,2.9,1
